type,latency
254,89966.0
4,92975.0
8,93452.0
6,94973.0
10,95571.0
4,97106.0
8,97760.0
4,99371.0
8,99843.0
4,102450.0
8,102931.0
4,104798.0
8,105254.0
4,107009.0
8,107456.0
4,108911.0
8,109375.0
4,111064.0
8,111507.0
4,113293.0
8,113691.0
4,115805.0
8,116278.0
6,117012.0
10,117552.0
4,119297.0
8,119742.0
4,121384.0
8,121776.0
4,123157.0
8,123546.0
4,124880.0
8,125285.0
4,126519.0
8,126887.0
4,128283.0
8,128730.0
4,130266.0
8,130724.0
4,132321.0
8,132675.0
4,134383.0
8,134796.0
4,136475.0
8,136905.0
4,138578.0
8,138972.0
4,140766.0
8,141202.0
4,142202.0
8,142609.0
4,144288.0
8,144570.0
4,146597.0
8,147010.0
4,148569.0
8,148921.0
4,150624.0
8,151015.0
6,152871.0
10,153297.0
4,154666.0
8,155089.0
4,157167.0
8,157522.0
4,159753.0
8,160101.0
4,162493.0
8,162831.0
4,164615.0
8,164964.0
4,166849.0
8,167305.0
4,168602.0
8,168942.0
6,170997.0
10,171411.0
4,173364.0
8,173815.0
4,174992.0
8,175487.0
4,176892.0
8,177343.0
4,179519.0
8,179927.0
4,181543.0
8,181939.0
4,183552.0
8,183889.0
4,185585.0
8,185987.0
4,187443.0
8,187935.0
4,190335.0
8,190736.0
6,192438.0
10,192919.0
4,194380.0
8,194911.0
4,196212.0
8,196712.0
4,198695.0
8,199254.0
4,200631.0
8,201148.0
6,202448.0
10,202936.0
4,204402.0
8,204896.0
4,206363.0
8,206773.0
4,208673.0
8,209083.0
4,209985.0
8,210383.0
4,211470.0
8,211862.0
4,213011.0
8,213438.0
4,215353.0
8,215851.0
4,217375.0
8,217871.0
4,219137.0
8,219529.0
4,221121.0
8,221526.0
4,222686.0
8,223202.0
4,224626.0
8,225071.0
4,226953.0
8,227374.0
6,229292.0
10,229695.0
4,231387.0
8,231793.0
4,232722.0
8,233153.0
4,234005.0
8,234326.0
4,235534.0
8,235960.0
4,237934.0
8,238403.0
4,240127.0
8,240485.0
4,242246.0
8,242686.0
4,244314.0
8,244616.0
4,246078.0
8,246414.0
4,247932.0
8,248293.0
6,249951.0
10,250376.0
4,251318.0
8,251745.0
4,253727.0
8,254156.0
4,255275.0
8,255792.0
4,257136.0
8,257591.0
4,258615.0
8,259172.0
4,259989.0
8,260372.0
4,261917.0
8,262348.0
4,263694.0
8,264187.0
4,265414.0
8,265933.0
4,266864.0
8,267365.0
4,268757.0
8,269233.0
4,270513.0
8,270956.0
6,272086.0
10,272517.0
4,274395.0
8,274874.0
4,276485.0
8,276888.0
4,278540.0
8,278955.0
4,280369.0
8,280799.0
4,281932.0
8,282389.0
4,283887.0
8,284383.0
4,285541.0
8,286047.0
4,287437.0
8,287868.0
4,289307.0
8,289771.0
6,291301.0
10,291739.0
4,292958.0
8,293478.0
4,294747.0
8,295217.0
4,296386.0
8,296824.0
4,298276.0
8,298670.0
6,299808.0
10,300274.0
4,301951.0
8,302428.0
4,304063.0
8,304563.0
4,305282.0
8,305784.0
4,307262.0
8,307674.0
4,309287.0
8,309722.0
6,310649.0
10,311014.0
4,312373.0
8,312839.0
4,314228.0
8,314561.0
4,315776.0
8,316102.0
4,317763.0
8,318179.0
4,319220.0
8,319656.0
4,321563.0
8,321943.0
4,323253.0
8,323705.0
4,325503.0
8,325968.0
4,327747.0
8,328173.0
4,329999.0
8,330405.0
4,331956.0
8,332390.0
4,333672.0
8,334099.0
4,335626.0
8,336013.0
6,338022.0
10,338443.0
4,340140.0
8,340616.0
4,342192.0
8,342709.0
4,344569.0
8,345030.0
4,345904.0
8,346331.0
4,348323.0
8,348703.0
4,350613.0
8,351032.0
4,352612.0
8,353130.0
4,354620.0
8,354996.0
4,356314.0
8,356709.0
4,358114.0
8,358543.0
4,359981.0
8,360446.0
4,362136.0
8,362622.0
4,363875.0
8,364405.0
6,366089.0
10,366656.0
4,368517.0
8,369051.0
4,369987.0
8,370470.0
4,371801.0
8,372234.0
4,373645.0
8,374003.0
4,375821.0
8,376291.0
4,378036.0
8,378462.0
4,380301.0
8,380808.0
6,382033.0
10,382437.0
4,384143.0
8,384622.0
4,386088.0
8,386510.0
4,388536.0
8,388991.0
6,390216.0
10,390687.0
4,392112.0
8,392571.0
4,394220.0
8,394615.0
4,396790.0
8,397178.0
4,398667.0
8,399045.0
4,401231.0
8,401692.0
4,403308.0
8,403749.0
4,404852.0
8,405359.0
4,406981.0
8,407463.0
4,408848.0
8,409346.0
4,410741.0
8,411184.0
4,412654.0
8,413100.0
255,414652.0
