isotime,unixtime,resp,tone,type,label
2017-02-05T15:02:45.234-05:00,1486324965234,0,0,254,start experiment
2017-02-05T15:02:48.243-05:00,1486324968243,0,F4,4,stimulus_freq
2017-02-05T15:02:48.720-05:00,1486324968720,1,0,8,response_freq
2017-02-05T15:02:50.241-05:00,1486324970241,0,G5,6,stimulus_infreq
2017-02-05T15:02:50.839-05:00,1486324970839,2,0,10,response_infreq
2017-02-05T15:02:52.374-05:00,1486324972374,0,F4,4,stimulus_freq
2017-02-05T15:02:53.028-05:00,1486324973028,1,0,8,response_freq
2017-02-05T15:02:54.639-05:00,1486324974639,0,F4,4,stimulus_freq
2017-02-05T15:02:55.111-05:00,1486324975111,1,0,8,response_freq
2017-02-05T15:02:57.718-05:00,1486324977718,0,F4,4,stimulus_freq
2017-02-05T15:02:58.199-05:00,1486324978199,1,0,8,response_freq
2017-02-05T15:03:00.066-05:00,1486324980066,0,F4,4,stimulus_freq
2017-02-05T15:03:00.522-05:00,1486324980522,1,0,8,response_freq
2017-02-05T15:03:02.276-05:00,1486324982277,0,F4,4,stimulus_freq
2017-02-05T15:03:02.724-05:00,1486324982724,1,0,8,response_freq
2017-02-05T15:03:04.179-05:00,1486324984179,0,F4,4,stimulus_freq
2017-02-05T15:03:04.643-05:00,1486324984643,1,0,8,response_freq
2017-02-05T15:03:06.332-05:00,1486324986332,0,F4,4,stimulus_freq
2017-02-05T15:03:06.775-05:00,1486324986775,1,0,8,response_freq
2017-02-05T15:03:08.561-05:00,1486324988561,0,F4,4,stimulus_freq
2017-02-05T15:03:08.959-05:00,1486324988959,1,0,8,response_freq
2017-02-05T15:03:11.073-05:00,1486324991073,0,F4,4,stimulus_freq
2017-02-05T15:03:11.546-05:00,1486324991546,1,0,8,response_freq
2017-02-05T15:03:12.280-05:00,1486324992280,0,G5,6,stimulus_infreq
2017-02-05T15:03:12.820-05:00,1486324992820,2,0,10,response_infreq
2017-02-05T15:03:14.565-05:00,1486324994565,0,F4,4,stimulus_freq
2017-02-05T15:03:15.010-05:00,1486324995010,1,0,8,response_freq
2017-02-05T15:03:16.652-05:00,1486324996652,0,F4,4,stimulus_freq
2017-02-05T15:03:17.044-05:00,1486324997044,1,0,8,response_freq
2017-02-05T15:03:18.425-05:00,1486324998425,0,F4,4,stimulus_freq
2017-02-05T15:03:18.814-05:00,1486324998814,1,0,8,response_freq
2017-02-05T15:03:20.148-05:00,1486325000148,0,F4,4,stimulus_freq
2017-02-05T15:03:20.553-05:00,1486325000553,1,0,8,response_freq
2017-02-05T15:03:21.786-05:00,1486325001787,0,F4,4,stimulus_freq
2017-02-05T15:03:22.154-05:00,1486325002155,1,0,8,response_freq
2017-02-05T15:03:23.551-05:00,1486325003551,0,F4,4,stimulus_freq
2017-02-05T15:03:23.998-05:00,1486325003998,1,0,8,response_freq
2017-02-05T15:03:25.534-05:00,1486325005534,0,F4,4,stimulus_freq
2017-02-05T15:03:25.992-05:00,1486325005992,1,0,8,response_freq
2017-02-05T15:03:27.589-05:00,1486325007589,0,F4,4,stimulus_freq
2017-02-05T15:03:27.943-05:00,1486325007943,1,0,8,response_freq
2017-02-05T15:03:29.651-05:00,1486325009651,0,F4,4,stimulus_freq
2017-02-05T15:03:30.064-05:00,1486325010064,1,0,8,response_freq
2017-02-05T15:03:31.743-05:00,1486325011743,0,F4,4,stimulus_freq
2017-02-05T15:03:32.173-05:00,1486325012173,1,0,8,response_freq
2017-02-05T15:03:33.846-05:00,1486325013846,0,F4,4,stimulus_freq
2017-02-05T15:03:34.240-05:00,1486325014240,1,0,8,response_freq
2017-02-05T15:03:36.034-05:00,1486325016034,0,F4,4,stimulus_freq
2017-02-05T15:03:36.470-05:00,1486325016470,1,0,8,response_freq
2017-02-05T15:03:37.470-05:00,1486325017470,0,F4,4,stimulus_freq
2017-02-05T15:03:37.877-05:00,1486325017877,1,0,8,response_freq
2017-02-05T15:03:39.556-05:00,1486325019556,0,F4,4,stimulus_freq
2017-02-05T15:03:39.838-05:00,1486325019838,1,0,8,response_freq
2017-02-05T15:03:41.865-05:00,1486325021865,0,F4,4,stimulus_freq
2017-02-05T15:03:42.278-05:00,1486325022278,1,0,8,response_freq
2017-02-05T15:03:43.837-05:00,1486325023837,0,F4,4,stimulus_freq
2017-02-05T15:03:44.189-05:00,1486325024189,1,0,8,response_freq
2017-02-05T15:03:45.892-05:00,1486325025892,0,F4,4,stimulus_freq
2017-02-05T15:03:46.282-05:00,1486325026283,1,0,8,response_freq
2017-02-05T15:03:48.139-05:00,1486325028139,0,G5,6,stimulus_infreq
2017-02-05T15:03:48.564-05:00,1486325028565,2,0,10,response_infreq
2017-02-05T15:03:49.934-05:00,1486325029934,0,F4,4,stimulus_freq
2017-02-05T15:03:50.357-05:00,1486325030357,1,0,8,response_freq
2017-02-05T15:03:52.435-05:00,1486325032435,0,F4,4,stimulus_freq
2017-02-05T15:03:52.789-05:00,1486325032790,1,0,8,response_freq
2017-02-05T15:03:55.020-05:00,1486325035021,0,F4,4,stimulus_freq
2017-02-05T15:03:55.369-05:00,1486325035369,1,0,8,response_freq
2017-02-05T15:03:57.760-05:00,1486325037761,0,F4,4,stimulus_freq
2017-02-05T15:03:58.099-05:00,1486325038099,1,0,8,response_freq
2017-02-05T15:03:59.883-05:00,1486325039883,0,F4,4,stimulus_freq
