,type,label,latency
313,8,response_freq,839463.0
314,4,stimulus_freq,840549.0
315,8,response_freq,841170.0
316,4,stimulus_freq,842967.0
317,8,response_freq,843468.0
318,4,stimulus_freq,845105.0
319,8,response_freq,845728.0
320,4,stimulus_freq,847153.0
321,8,response_freq,847705.0
322,6,stimulus_infreq,849626.0
323,10,response_infreq,850190.0
324,4,stimulus_freq,851391.0
325,8,response_freq,851979.0
326,4,stimulus_freq,853574.0
327,8,response_freq,854121.0
328,255,stop experiment,855732.0
