isotime,unixtime,resp,tone,type,label
2017-02-05T11:48:25.327-05:00,1486313305327,0,0,254,start experiment
2017-02-05T11:48:28.334-05:00,1486313308334,0,F4,4,stimulus_freq
2017-02-05T11:48:28.943-05:00,1486313308943,1,0,8,response_freq
2017-02-05T11:48:30.451-05:00,1486313310451,0,F4,4,stimulus_freq
2017-02-05T11:48:30.918-05:00,1486313310918,1,0,8,response_freq
2017-02-05T11:48:32.250-05:00,1486313312250,0,F4,4,stimulus_freq
2017-02-05T11:48:32.718-05:00,1486313312718,1,0,8,response_freq
2017-02-05T11:48:34.283-05:00,1486313314283,0,G5,6,stimulus_infreq
2017-02-05T11:48:34.757-05:00,1486313314757,2,0,10,response_infreq
2017-02-05T11:48:36.072-05:00,1486313316072,0,F4,4,stimulus_freq
2017-02-05T11:48:36.579-05:00,1486313316579,1,0,8,response_freq
2017-02-05T11:48:37.803-05:00,1486313317803,0,F4,4,stimulus_freq
2017-02-05T11:48:38.302-05:00,1486313318302,1,0,8,response_freq
2017-02-05T11:48:39.767-05:00,1486313319767,0,F4,4,stimulus_freq
2017-02-05T11:48:40.245-05:00,1486313320245,1,0,8,response_freq
2017-02-05T11:48:41.645-05:00,1486313321645,0,F4,4,stimulus_freq
2017-02-05T11:48:42.172-05:00,1486313322172,1,0,8,response_freq
2017-02-05T11:48:43.758-05:00,1486313323758,0,F4,4,stimulus_freq
2017-02-05T11:48:44.261-05:00,1486313324262,1,0,8,response_freq
2017-02-05T11:48:46.182-05:00,1486313326182,0,F4,4,stimulus_freq
2017-02-05T11:48:46.613-05:00,1486313326614,1,0,8,response_freq
2017-02-05T11:48:48.497-05:00,1486313328497,0,F4,4,stimulus_freq
2017-02-05T11:48:48.940-05:00,1486313328940,1,0,8,response_freq
2017-02-05T11:48:51.037-05:00,1486313331037,0,F4,4,stimulus_freq
2017-02-05T11:48:51.469-05:00,1486313331469,1,0,8,response_freq
2017-02-05T11:48:53.752-05:00,1486313333752,0,F4,4,stimulus_freq
2017-02-05T11:48:54.118-05:00,1486313334118,1,0,8,response_freq
2017-02-05T11:48:55.480-05:00,1486313335480,0,F4,4,stimulus_freq
2017-02-05T11:48:55.912-05:00,1486313335912,1,0,8,response_freq
2017-02-05T11:48:57.048-05:00,1486313337048,0,F4,4,stimulus_freq
2017-02-05T11:48:57.580-05:00,1486313337580,1,0,8,response_freq
2017-02-05T11:48:59.043-05:00,1486313339043,0,F4,4,stimulus_freq
2017-02-05T11:48:59.577-05:00,1486313339578,1,0,8,response_freq
2017-02-05T11:49:00.966-05:00,1486313340966,0,F4,4,stimulus_freq
2017-02-05T11:49:01.503-05:00,1486313341503,1,0,8,response_freq
2017-02-05T11:49:02.724-05:00,1486313342724,0,F4,4,stimulus_freq
2017-02-05T11:49:03.333-05:00,1486313343333,1,0,8,response_freq
2017-02-05T11:49:04.674-05:00,1486313344674,0,F4,4,stimulus_freq
2017-02-05T11:49:05.606-05:00,1486313345606,1,0,8,response_freq
2017-02-05T11:49:07.226-05:00,1486313347226,0,F4,4,stimulus_freq
2017-02-05T11:49:07.791-05:00,1486313347791,1,0,8,response_freq
2017-02-05T11:49:09.121-05:00,1486313349121,0,G5,6,stimulus_infreq
2017-02-05T11:49:09.730-05:00,1486313349730,2,0,10,response_infreq
2017-02-05T11:49:10.561-05:00,1486313350561,0,F4,4,stimulus_freq
2017-02-05T11:49:11.197-05:00,1486313351197,1,0,8,response_freq
2017-02-05T11:49:12.841-05:00,1486313352841,0,F4,4,stimulus_freq
2017-02-05T11:49:13.335-05:00,1486313353336,1,0,8,response_freq
2017-02-05T11:49:15.518-05:00,1486313355518,0,F4,4,stimulus_freq
2017-02-05T11:49:15.999-05:00,1486313355999,1,0,8,response_freq
2017-02-05T11:49:17.327-05:00,1486313357328,0,F4,4,stimulus_freq
2017-02-05T11:49:17.868-05:00,1486313357868,1,0,8,response_freq
2017-02-05T11:49:19.300-05:00,1486313359300,0,F4,4,stimulus_freq
2017-02-05T11:49:19.802-05:00,1486313359802,1,0,8,response_freq
2017-02-05T11:49:21.671-05:00,1486313361671,0,F4,4,stimulus_freq
2017-02-05T11:49:22.173-05:00,1486313362174,1,0,8,response_freq
2017-02-05T11:49:23.534-05:00,1486313363534,0,F4,4,stimulus_freq
2017-02-05T11:49:24.031-05:00,1486313364031,1,0,8,response_freq
2017-02-05T11:49:25.592-05:00,1486313365592,0,F4,4,stimulus_freq
2017-02-05T11:49:26.101-05:00,1486313366101,1,0,8,response_freq
2017-02-05T11:49:27.817-05:00,1486313367817,0,F4,4,stimulus_freq
2017-02-05T11:49:28.262-05:00,1486313368262,1,0,8,response_freq
2017-02-05T11:49:30.485-05:00,1486313370485,0,G5,6,stimulus_infreq
2017-02-05T11:49:31.020-05:00,1486313371020,2,0,10,response_infreq
2017-02-05T11:49:32.260-05:00,1486313372260,0,F4,4,stimulus_freq
2017-02-05T11:49:32.864-05:00,1486313372865,1,0,8,response_freq
2017-02-05T11:49:34.911-05:00,1486313374912,0,F4,4,stimulus_freq
2017-02-05T11:49:35.391-05:00,1486313375391,1,0,8,response_freq
2017-02-05T11:49:36.508-05:00,1486313376508,0,G5,6,stimulus_infreq
2017-02-05T11:49:37.038-05:00,1486313377038,2,0,10,response_infreq
2017-02-05T11:49:38.230-05:00,1486313378231,0,F4,4,stimulus_freq
2017-02-05T11:49:38.817-05:00,1486313378817,1,0,8,response_freq
2017-02-05T11:49:40.525-05:00,1486313380525,0,F4,4,stimulus_freq
2017-02-05T11:49:40.969-05:00,1486313380969,1,0,8,response_freq
2017-02-05T11:49:42.686-05:00,1486313382687,0,F4,4,stimulus_freq
2017-02-05T11:49:43.130-05:00,1486313383130,1,0,8,response_freq
2017-02-05T11:49:44.927-05:00,1486313384927,0,F4,4,stimulus_freq
2017-02-05T11:49:45.459-05:00,1486313385459,1,0,8,response_freq
2017-02-05T11:49:47.053-05:00,1486313387053,0,F4,4,stimulus_freq
2017-02-05T11:49:47.446-05:00,1486313387446,1,0,8,response_freq
2017-02-05T11:49:48.615-05:00,1486313388615,0,F4,4,stimulus_freq
2017-02-05T11:49:49.135-05:00,1486313389135,1,0,8,response_freq
2017-02-05T11:49:50.973-05:00,1486313390973,0,F4,4,stimulus_freq
2017-02-05T11:49:51.473-05:00,1486313391473,1,0,8,response_freq
2017-02-05T11:49:53.381-05:00,1486313393381,0,F4,4,stimulus_freq
2017-02-05T11:49:53.945-05:00,1486313393945,1,0,8,response_freq
2017-02-05T11:49:55.510-05:00,1486313395510,0,F4,4,stimulus_freq
2017-02-05T11:49:56.041-05:00,1486313396041,1,0,8,response_freq
2017-02-05T11:49:57.681-05:00,1486313397681,0,F4,4,stimulus_freq
2017-02-05T11:49:58.261-05:00,1486313398261,1,0,8,response_freq
2017-02-05T11:49:59.991-05:00,1486313399991,0,F4,4,stimulus_freq
2017-02-05T11:50:00.816-05:00,1486313400816,1,0,8,response_freq
2017-02-05T11:50:01.837-05:00,1486313401837,0,F4,4,stimulus_freq
2017-02-05T11:50:02.455-05:00,1486313402455,1,0,8,response_freq
2017-02-05T11:50:04.645-05:00,1486313404645,0,G5,6,stimulus_infreq
2017-02-05T11:50:05.244-05:00,1486313405244,2,0,10,response_infreq
2017-02-05T11:50:06.074-05:00,1486313406074,0,F4,4,stimulus_freq
2017-02-05T11:50:06.658-05:00,1486313406658,1,0,8,response_freq
2017-02-05T11:50:08.322-05:00,1486313408322,0,F4,4,stimulus_freq
2017-02-05T11:50:08.934-05:00,1486313408934,1,0,8,response_freq
2017-02-05T11:50:10.374-05:00,1486313410374,0,F4,4,stimulus_freq
2017-02-05T11:50:11.039-05:00,1486313411039,1,0,8,response_freq
