isotime,unixtime,resp,tone,type,label
2017-02-05T11:54:49.545-05:00,1486313689546,0,0,254,start experiment
2017-02-05T11:54:52.555-05:00,1486313692555,0,F4,4,stimulus_freq
2017-02-05T11:54:53.159-05:00,1486313693159,1,0,8,response_freq
2017-02-05T11:54:54.638-05:00,1486313694638,0,F4,4,stimulus_freq
2017-02-05T11:54:55.378-05:00,1486313695378,1,0,8,response_freq
2017-02-05T11:54:56.887-05:00,1486313696887,0,F4,4,stimulus_freq
2017-02-05T11:54:57.485-05:00,1486313697485,1,0,8,response_freq
2017-02-05T11:54:59.210-05:00,1486313699210,0,F4,4,stimulus_freq
2017-02-05T11:54:59.760-05:00,1486313699760,1,0,8,response_freq
2017-02-05T11:55:01.538-05:00,1486313701538,0,F4,4,stimulus_freq
2017-02-05T11:55:02.098-05:00,1486313702098,1,0,8,response_freq
2017-02-05T11:55:03.125-05:00,1486313703125,0,F4,4,stimulus_freq
2017-02-05T11:55:03.778-05:00,1486313703778,1,0,8,response_freq
2017-02-05T11:55:05.024-05:00,1486313705025,0,F4,4,stimulus_freq
2017-02-05T11:55:05.588-05:00,1486313705588,1,0,8,response_freq
2017-02-05T11:55:07.258-05:00,1486313707258,0,F4,4,stimulus_freq
2017-02-05T11:55:07.791-05:00,1486313707791,1,0,8,response_freq
2017-02-05T11:55:08.863-05:00,1486313708864,0,F4,4,stimulus_freq
2017-02-05T11:55:09.434-05:00,1486313709434,1,0,8,response_freq
2017-02-05T11:55:10.661-05:00,1486313710661,0,F4,4,stimulus_freq
2017-02-05T11:55:11.140-05:00,1486313711140,1,0,8,response_freq
2017-02-05T11:55:13.028-05:00,1486313713028,0,G5,6,stimulus_infreq
2017-02-05T11:55:13.551-05:00,1486313713551,2,0,10,response_infreq
2017-02-05T11:55:15.388-05:00,1486313715388,0,F4,4,stimulus_freq
2017-02-05T11:55:16.022-05:00,1486313716022,1,0,8,response_freq
2017-02-05T11:55:17.470-05:00,1486313717471,0,F4,4,stimulus_freq
2017-02-05T11:55:18.026-05:00,1486313718026,1,0,8,response_freq
2017-02-05T11:55:19.360-05:00,1486313719360,0,F4,4,stimulus_freq
2017-02-05T11:55:19.912-05:00,1486313719913,1,0,8,response_freq
2017-02-05T11:55:20.865-05:00,1486313720865,0,F4,4,stimulus_freq
2017-02-05T11:55:21.366-05:00,1486313721366,1,0,8,response_freq
2017-02-05T11:55:22.396-05:00,1486313722396,0,F4,4,stimulus_freq
2017-02-05T11:55:22.922-05:00,1486313722922,1,0,8,response_freq
2017-02-05T11:55:24.270-05:00,1486313724270,0,F4,4,stimulus_freq
2017-02-05T11:55:24.748-05:00,1486313724748,1,0,8,response_freq
2017-02-05T11:55:26.404-05:00,1486313726404,0,F4,4,stimulus_freq
2017-02-05T11:55:26.999-05:00,1486313726999,1,0,8,response_freq
2017-02-05T11:55:28.205-05:00,1486313728205,0,F4,4,stimulus_freq
2017-02-05T11:55:28.768-05:00,1486313728768,1,0,8,response_freq
2017-02-05T11:55:30.581-05:00,1486313730581,0,F4,4,stimulus_freq
2017-02-05T11:55:31.096-05:00,1486313731096,1,0,8,response_freq
2017-02-05T11:55:32.710-05:00,1486313732710,0,G5,6,stimulus_infreq
2017-02-05T11:55:33.231-05:00,1486313733231,2,0,10,response_infreq
2017-02-05T11:55:34.664-05:00,1486313734665,0,F4,4,stimulus_freq
2017-02-05T11:55:35.272-05:00,1486313735272,1,0,8,response_freq
2017-02-05T11:55:36.435-05:00,1486313736436,0,F4,4,stimulus_freq
2017-02-05T11:55:37.033-05:00,1486313737033,1,0,8,response_freq
2017-02-05T11:55:38.060-05:00,1486313738060,0,G5,6,stimulus_infreq
2017-02-05T11:55:38.628-05:00,1486313738628,1,0,8,response_freq
2017-02-05T11:55:38.945-05:00,1486313738945,2,0,10,response_infreq
2017-02-05T11:55:40.026-05:00,1486313740026,0,F4,4,stimulus_freq
2017-02-05T11:55:40.981-05:00,1486313740982,1,0,8,response_freq
2017-02-05T11:55:41.659-05:00,1486313741659,0,F4,4,stimulus_freq
2017-02-05T11:55:42.378-05:00,1486313742378,1,0,8,response_freq
2017-02-05T11:55:44.028-05:00,1486313744028,0,F4,4,stimulus_freq
